"Hash","NodeName","PL","TR","Notes"
"8401B7BC4DF214E7BCE452A39312F735","CinematicNode_Choice_0","Słuchaj dalej.","",""
"6BD4889A4E7642ADA1823C8D204F9F64","CinematicNode_Choice_0","Dopytaj, kogo aresztowano.","",""
"9A6AAF1A472D7E2F83B4528AFD77A9A9","CinematicNode_Choice_0","1","",""
"E9B93A6F4C8D2381FA78029B66CA8AE2","CinematicNode_Choice_0","2","",""
"8D94CB224DAEC88258F43FA041F7EDF0","CinematicNode_Choice_1","Zapytaj, czy kogoś podejrzewa.","",""
"072F1A8F43738A3217001A99BEF99A9F","CinematicNode_Choice_1","Zwróć uwagę na talię kart.","",""
"3875D6A7483DBBA6D5E8249DE7D1EEDA","CinematicNode_Choice_1","Dopytaj o znalezione dokumenty.","",""
"D1A04E1F4667EAC6A7E9909D010E135C","CinematicNode_Choice_1","1","",""
"F5E8995647164E3A1FB829A667369AF0","CinematicNode_Choice_1","2","",""
"279484C248DB143F744AE5B2637AA31A","CinematicNode_Choice_1","3","",""
"B984AD89400FDB1A854EEA89D59CD90E","CinematicNode_Choice_2","Przyznaj, że możesz to zrobić.","",""
"D1993FA744988718B6FF33A201F75D49","CinematicNode_Choice_2","Dopytaj, czemu ona jest taka wyjątkowa.","",""
"2A9BF8024334173754CC1EBE40897A14","CinematicNode_Choice_2","1","",""
"63732BA64BFE95EE1FD7329DF430BCA3","CinematicNode_Choice_2","2","",""
"7BC8B65041BEA629C0A8BE93E930D84C","CinematicNode_Choice_3","Zwróć uwagę, że jej imię jest rosyjskie.","",""
"41ABB1C4457CF82FE06EAAAFAC522992","CinematicNode_Choice_3","Spytaj, czy powodem podejrzeń jest pochodzenie Poliny.","",""
"C161E68D4B096691F936A99723A87811","CinematicNode_Choice_3","Zapytaj, czemu on jej nie podejrzewa.","",""
"94E069A448A6A76B4173188FDBE017BF","CinematicNode_Choice_3","1","",""
"ED04F4AB494C34723D78AF864E34B2A0","CinematicNode_Choice_3","2","",""
"43AAD1374A69D1391F0C9F98385B3836","CinematicNode_Choice_3","3","",""
"EE873FF541B697B4F081A9AA03808724","CinematicNode_Choice_6","Zapytaj, czego oczekuje.","",""
"CA49F5CD43CA257DF887529ED9CBDC5B","CinematicNode_Choice_6","Dowiedz się, kto telefonował.","",""
"F05F9CC94012E62955AC04BC89B9DCD0","CinematicNode_Choice_6","Wspomnij agresorów z podwórka.","",""
"0C2F825C4BAE0E07291AE9B71175767E","CinematicNode_Choice_6","Pożegnaj się.","",""
"C840C1B5485B262579A965962002CFE0","CinematicNode_Choice_6","1","",""
"14599F084A4E20D4F0B47F94E2E24DDA","CinematicNode_Choice_6","2","",""
"BC12B42E48448B043C0C949F33251F68","CinematicNode_Choice_6","3","",""
"86EFE92D4DBEFE6EAC91BB85DC14820E","CinematicNode_Choice_6","4","",""
"1F74F1934841536E52001EB99C3B535C","CinematicNode_Response_0","Panie przewodniczący, uprzejmie donoszę, że pod pańskimi oknami, to byli zwykli frustraci. Panowie przegrali bajońską sumę w karty...","",""
"A7EF0CE443807589F4892AAF8D2F7E52","CinematicNode_Response_0","Doprawdy?","",""
"F2D72D32424D7025A3D57AB8A03C7B10","CinematicNode_Response_0","Czasem grają w bardziej hazardowe gry i nerwy im puszczają.","",""
"785687F34D527C5ECD8A0ABD0DF0D1DC","CinematicNode_Response_1","Skoro już się pan rozgościł i <i>zamienił w słuch</>, chyba możemy zacząć.","",""
"61D23FEA4035CE1364B1568B676C3BC5","CinematicNode_Response_10","Karty to też matematyka. Używam ich do wyjaśnienia rachunku prawdopodobieństwa.","",""
"A66FCF7C4D3115BCE2B9A7AF391CFD3E","CinematicNode_Response_10","Uczy pan studentki liczenia kart?","",""
"4DF6FBE04537F0148B338BA09262A605","CinematicNode_Response_10","Proszę mi wierzyć, to nie ma związku z naszą sprawą.","",""
"87FC625F4FAEEDAD5C48198FD2CF6A97","CinematicNode_Response_11","Lubi pan stawiać pasjansa?","",""
"D32D399044A58BE20457A0B7D131BE98","CinematicNode_Response_11","Skąd to pytanie?","",""
"555DC27840E4476538109D8255BA9FAD","CinematicNode_Response_11","Nie jest pan hazardzistą, a te karty wyglądają na zgrane.","",""
"0D65DFA74669B0447ED20892E0F38B4A","CinematicNode_Response_11","A, karty, no tak... ","",""
"4536909C4B88567610364F8E42557DCD","CinematicNode_Response_12","Wiem, że Polina je tu zostawiła.","",""
"F2C621624BEB34064F2FC79525D9EB02","CinematicNode_Response_13","To ją studenci podejrzewają o szpiegowanie dla Ochrany?","",""
"75B821054E4AC6D6A3E70DB52403D00A","CinematicNode_Response_14","Niestety, zapanowały takie ksenofobiczne nastroje. Ale ja nie podejrzewam jej wcale.","",""
"1949D76F4F71CE6460D8D1899D3F21E0","CinematicNode_Response_15","Polina? To rosyjskie imię.","",""
"AD8056EF446837EBCA9C6486FB6978BF","CinematicNode_Response_15","Widzę, do czego pan zmierza.","",""
"A0186F674BB34A1569EB1AA42DA8A3EA","CinematicNode_Response_16","Skąd pewność, że to nie ona?","",""
"EA7CE42342B947ED5A503D921692ADC0","CinematicNode_Response_16","Znam ją lepiej, niż wszystkich innych. To nie ona.","",""
"7C9827F64954C741758B5EA25A39AD86","CinematicNode_Response_17","Troszczy się pan o Polinę bardziej, niż o resztę studentek. ","",""
"7B36A264421B38301B0FDDBBA3FFB66A","CinematicNode_Response_17","Jeśli ma pan pomysł, jak załatwić to dyskretnie i bezpiecznie dla wszystkich, będę bardzo zobowiązany.","",""
"A11E692949AB5DB17DDEB9B4C9726FFA","CinematicNode_Response_17","Jestem wścibski z natury, proszę wybaczyć.","",""
"70BBF30F4D4D042A8AFD308A5AF8CF2A","CinematicNode_Response_18","Jak już pan wie, jednego z moich studentów aresztowano ostatnio.","",""
"DFF50C3B426D6DD1C30A73BECFC66E43","CinematicNode_Response_18","Sądzę, że pańska pomoc będzie nieoceniona.","",""
"552AECAF46E3AB0B57579881F9C54B79","CinematicNode_Response_19","Czy pański telefon, to była rozmowa z kimś szczególnym?","",""
"FAEE55CD46ECD1EC07C3C49B7C699694","CinematicNode_Response_19","Przede wszystkim była prywatna. Moja żona telefonowała, jeśli już musi pan wiedzieć.","",""
"D4CF50EE4783EE640034D88E0C09D31C","CinematicNode_Response_2","Przepraszam, już możemy.","",""
"BB43B166492E571ACBC112A9A9EB75CA","CinematicNode_Response_20","Nawet chciałbym, abyś właśnie to ją ostatecznie wykluczył z kręgu podejrzeń.","",""
"A01A459844033637A52D1F91804F541E","CinematicNode_Response_20","Najlepiej tak, żeby się nie dowiedziała.","",""
